"Hotel_Name";"score_data";"price_data";"distance_to_center";"Estrelas";"breakfast";"Reviews_qty";"Free_Cancel";"only_x_left"
"
Conrad Bangkok Residences
";7,9;53;5;5;0;34;1;0
"
One One Bangkok
";8,2;29;8;3;0;211;1;0
"
Park 19 Residence
";8,2;27;9;3;0;418;1;1
"
ARUN Riverside Bangkok
";8,9;65;2;4;1;101;1;1
"
Ad Lib
";8,9;102;5;5;0;1709;1;1
"
CHERN Bangkok
";8,7;22;0,6;3;0;2509;1;0
"
Sathorn Vista, Bangkok - Marriott Executive Apartments
";8,8;88;5;5;0;236;1;0
"
The Royal River Hotel
";7,9;49;3,1;4;1;493;1;0
"
Anajak Bangkok Hotel
";9;39;3,1;4;1;1140;1;1
"
Hyde Park Hotel Bangkok
";8,5;28;4,2;3;0;160;1;0
"
Metro Point Bangkok
";8;27;13;4;1;135;1;0
"
Good Start Apartment
";8,1;19;2,2;2;0;233;1;1
"
Every Surawong
";9,1;21;3,8;3;0;139;1;1
"
Marriott Executive Apartments Sukhumvit Park
";8,8;97;7;5;0;220;1;1
"
The Mulberry Bangkok Khaosan Road
";8,8;22;0,85;3;0;127;1;0
"
Waldorf Astoria Bangkok
";9,2;234;4;5;0;213;1;0
"
OYO 705 Hostel@seatzstation
";8,6;13;11;2;0;58;1;1
"
V Varee Bangkok
";7,3;23;1,5;3;1;269;1;0
"
The Grand Fourwings Convention Hotel Bangkok
";8,5;69;15;5;0;189;1;0
"
Rongratana Executive Residence
";8,7;56;4,5;5;0;133;1;1
"
3Howw Hostel @ Sukhumvit 21
";8,3;16;6;2;1;1400;1;1
"
Sweet Loft Hotel Don Muang
";7,1;18;21;3;1;65;1;1
"
OYO 411 Grandview Condo 15
";6,4;17;9;3;0;22;1;0
"
OYO 137 Kitzio House
";8,7;18;7;3;0;186;1;0
"
7 Days Premium at Icon Siam Station
";8,5;22;3,5;3;0;156;1;1
"
OYO 568 Art Hotel Hua Lamphong
";7,3;10;2,2;2;0;493;1;0
"
Boss mansion
";7,9;26;9;3;0;230;1;0
"
Josh Hotel
";8,1;28;5;4;0;485;1;0
"
The Bangkok Major Suite
";7,6;20;11;3;0;147;1;1
"
Thaisun Bangkok Hotel
";8,1;746;10;4;1;13;1;1
"
S Box Sukhumvit Hotel
";8,4;30;7;3;0;762;1;0
"
Hotel Mermaid Bangkok
";8,4;23;6;4;0;509;1;0
"
Triple Y Hotel
";9;47;3,4;4;0;272;0;0
"
The Pantip Hotel Ladprao Bangkok
";7,8;22;15;4;0;71;1;0
"
De Centro Bangkok
";6,9;25;3,8;4;0;186;1;0
"
Loft Bangkok Hotel
";8,1;35;4,5;4;0;28;1;0
"
Bally Suite Sukhumvit
";7,9;33;7;3;0;528;1;0
"
OYO 302 BB Guesthouse
";7,6;14;12;3;0;100;1;0
"
Howard Square Boutique Hotel
";7,1;16;6;3;0;50;1;0
"
Baan K Residence By Bliston
";8,8;33;5;3;0;327;1;0
"
Sala Rattanakosin Bangkok
";8,2;107;2;4;1;218;1;1
"
Hide Bangkok Hostel
";8,7;10;11;3;1;528;1;1
"
Tai Pan Hotel
";8;28;6;4;0;529;1;0
"
Samyan Serene Hotel
";8,2;29;3,5;3;0;134;1;0
"
Metropole Residence
";8,5;93;7;4;0;230;1;0
"
The Spades Hostel
";8,5;22;2,2;3;0;1082;1;1
"
Like Sukhumvit 22
";8;27;6;3;0;125;0;1
"
Wealth 30th
";8,3;18;13;2;0;129;1;1
"
Marriott Executive Apartments Bangkok, Sukhumvit Thonglor
";9;88;8;5;0;298;1;1
"
Prince Palace Hotel
";7,4;61;1;5;0;6359;1;0
"
Vince Hotel Pratunam
";8,4;22;3,2;4;0;837;1;0
"
P-Park Hotel near Yanhee Hospital
";8,1;22;5;3;0;384;1;0
"
Platinum Deluxe Shopping Apartments
";8,1;16;3,6;2;0;226;1;1
"
Maxim's Inn
";7,6;17;5;3;0;681;1;1
"
Dewan Bangkok
";8,6;40;0,95;3;0;1075;1;0
"
Inn a day
";9,5;69;2;4;1;448;1;1
"
Arnoma Hotel Bangkok
";7,8;40;4;4;0;579;1;0
"
OYO 519 B Min Airport
";6,7;14;22;2;0;6;1;0
"
Sawasdee Hotel @ Sukhumvit Soi 8
";7,8;19;5;3;0;849;1;0
"
The Maruay Garden Hotel
";8;32;12;4;0;245;1;0
"
Gfeel Hostel
";7,7;8;13;2;0;16;1;1
"
OYO 644 Pong Pai House
";8,1;13;27;2;0;13;1;0
"
Rambuttri House
";7,7;16;0,95;2;0;673;1;0
"
Hope Land Hotel Sukhumvit 24
";6,9;37;7;4;0;60;1;1
"
S15
";8,4;80;6;4;1;221;1;0
"
HOFTORS
";8,6;15;12;3;0;106;1;1
"
OYO 387 Little Bangbon
";5,1;12;17;3;0;9;1;0
"
Elizabeth Hotel
";7,1;29;5;3;1;231;1;0
"
Jazzotel Bangkok
";7,4;27;9;3;0;29;1;0
"
Viewplace Mansion Ladprao 130
";7,9;16;13;2;0;68;1;0
"
Adelphi Forty-Nine
";9,1;50;8;4;0;324;1;0
"
Shanti Lodge
";7,9;12;1,7;2;0;642;1;1
"
Rambuttri Village Plaza
";7,6;19;1,2;2;0;14048;1;0
"
OYO 1002 Pinklao Resort
";5,4;21;5;2;0;8;1;0
"
Malaysia Hotel Bangkok
";7,7;26;5;3;0;635;1;0
"
The Berkeley Hotel Pratunam
";8,4;32;4;5;0;588;1;0
"
Sleep With Me Too Bangkok- BTS Phra Khanong
";7,1;13;10;3;0;175;1;0
"
Louis Tavern Hotel
";8,1;50;15;3;0;283;1;0
"
Marriott Executive Apartments Mayfair Bangkok
";8,8;94;4,5;5;0;484;1;1
"
Bangkok 68
";7;17;7;3;0;1009;1;0
"
Rama Gardens Hotel Bangkok
";8,2;51;13;4;0;218;1;0
"
Methavalai Residence Hotel
";8,8;19;0,35;3;0;1109;1;1
"
LiT BANGKOK Residence
";8,8;63;2,8;4;0;104;1;0
"
Nana City Hotel
";7,9;16;5;2;0;643;1;1
"
Arawana Express Chinatown
";7,6;23;1,4;3;0;260;1;1
"
Villa Cha-Cha Banglumphu
";7,7;28;1,1;3;0;2284;1;0
"
OYO 460 Int Place
";6,4;12;6;2;0;51;1;0
"
Monomer Hostel Bangkok
";8,6;25;2,8;2;0;635;0;1
"
OYO 547 Happy Home
";6,1;14;26;3;0;13;1;0
"
Oakwood Residence Sukhumvit Thonglor Bangkok
";8,6;55;8;4;0;76;1;1
"
OYO 471 Sunshine Apartment
";5;11;21;2;0;11;1;0
"
Parkview Ratchaprarop
";7,3;14;4,2;3;0;39;1;0
"
Mövenpick Hotel Sukhumvit 15 Bangkok
";8,4;276;5;5;0;4998;1;0
"
OYO 404 P9 Bangkok
";8,8;15;11;2;0;29;1;0
"
Cubic Pratunam
";7;17;3,3;3;0;335;1;0
"
A-ONE Bangkok Hotel
";8,1;42;8;4;0;346;1;0
"
Hotel De Bangkok
";7,8;34;4;3;0;279;1;0
"
The Sukhothai Bangkok
";9;244;5;5;1;577;1;0
"
Mida Hotel Don Mueang Airport
";7,6;32;16;4;0;158;1;1
"
Stable Lodge
";8,1;25;5;3;0;733;1;0
"
Buddy Lodge, Khaosan Road
";8,3;37;0,85;3;0;1763;1;0
